feature_model,model,all_features_net_return,without_feature_net_return,incremental_net_return
timesfm,catboost,-0.0397412447505679,-0.032211213210261,-0.007530031540306903
chronos,catboost,-0.0397412447505679,-0.0353977410100951,-0.0043435037404728
timesfm,lightgbm,-0.0490226136249241,-0.0334191432193444,-0.015603470405579696
chronos,lightgbm,-0.0490226136249241,-0.0580187529322524,0.008996139307328302
timesfm,prior,0.0053664234192326,0.0053664234192326,0.0
chronos,prior,0.0053664234192326,0.0053664234192326,0.0
timesfm,ridge_logistic,-0.0220269316161991,-0.0366992224165411,0.014672290800341999
chronos,ridge_logistic,-0.0220269316161991,-0.0371189079630351,0.015091976346836004
timesfm,trend,0.0003561641154041,0.0003561641154041,0.0
chronos,trend,0.0003561641154041,0.0003561641154041,0.0
