scenario,model,net_return,naive_net_return,delta_net_return_vs_naive,delta_net_return,delta_sharpe,delta_brier,positive_fold_ratio,mean_net_return_at_2x_cost,all_screening_flags
timesfm,catboost,-0.0353977410100951,-0.0491921489413133,0.013794407931218201,0.0034421360668307,-0.4771391273637682,4.149546032394813e-06,0.08333333333333333,-0.07170621459347921,False
timesfm,lightgbm,-0.047642053818868,-0.0422923208447611,-0.005349732974106895,-0.0076636442873032,0.1279800998481142,0.0016008151429652,0.08333333333333333,-0.08634339260131402,False
timesfm,prior,0.0053664234192326,0.0053664234192326,0.0,3.903127820947816e-17,5.551115123125783e-17,2.775557561562892e-17,0.16666666666666666,0.004627222396173043,False
timesfm,ridge_logistic,-0.0371189079630351,-0.0176061350854188,-0.019512772877616304,-0.0213451379593998,-2.7508859709940783,3.236871635764471e-05,0.08333333333333333,-0.06972149353448946,False
timesfm,trend,0.0003561641154041,0.0003561641154041,0.0,1.3606737264693079e-17,0.0,,0.3333333333333333,-0.004007751931421509,False
chronos,catboost,-0.032211213210261,-0.0491921489413133,0.016980935731052305,0.0066286638666648,1.3816940687398664,0.0001800405873226,0.0,-0.06121936738487594,False
chronos,lightgbm,-0.0448293930087512,-0.0422923208447611,-0.0025370721639901006,-0.0048509834771864,-0.2000230045730942,0.0015788703286934,0.0,-0.07542150575765975,False
chronos,prior,0.0053664234192326,0.0053664234192326,0.0,3.903127820947816e-17,5.551115123125783e-17,2.775557561562892e-17,0.16666666666666666,0.004627222396173043,False
chronos,ridge_logistic,-0.0366992224165411,-0.0176061350854188,-0.019093087331122298,-0.0209254524129058,-3.2571117658865703,0.0001882038848629,0.16666666666666666,-0.06995347273493997,False
chronos,trend,0.0003561641154041,0.0003561641154041,0.0,1.3606737264693079e-17,0.0,,0.3333333333333333,-0.004007751931421509,False
timesfm_chronos,catboost,-0.0397412447505679,-0.0491921489413133,0.009450904190745402,-0.000901367673642,-0.114647292808391,0.0001911328475054,0.08333333333333333,-0.07935187278866858,False
timesfm_chronos,lightgbm,-0.0364232708705694,-0.0422923208447611,0.005869049974191701,0.0035551386609953,0.9775316923945908,0.0016281583312598,0.25,-0.07319744474884261,False
timesfm_chronos,prior,0.0053664234192326,0.0053664234192326,0.0,3.903127820947816e-17,5.551115123125783e-17,2.775557561562892e-17,0.16666666666666666,0.004627222396173043,False
timesfm_chronos,ridge_logistic,-0.0223988316894099,-0.0176061350854188,-0.004792696603991103,-0.0066250616857746,-0.99499596387975,-2.1705356449575053e-05,0.25,-0.0480827688649872,False
timesfm_chronos,trend,0.0003561641154041,0.0003561641154041,0.0,1.3606737264693079e-17,0.0,,0.3333333333333333,-0.004007751931421509,False
