scenario,model,fold,train_rows,calibration_rows,validation_rows,test_rows,accuracy,brier,log_loss,roc_auc,ece,realized_positive_rate,predicted_positive_rate,net_return,passive_return,passive_gross_return,annualized_volatility,sharpe,max_drawdown,turnover,trading_cost,average_exposure,entries,cost_multiplier,threshold
naive,catboost,5.5,4480.0,359.0,360.0,360.0,0.5057870370370371,0.2523834279864136,0.698083240120282,0.5048410586394173,0.044165832680330926,0.5097222222222222,0.5091396591261612,-0.04919214894131333,0.0200544763164221,0.025166881342714154,0.07550707693883152,-3.918263142126726,-0.06172814567777236,18.287357200847634,0.04571839300211908,0.09893265377683853,26.166666666666668,1.0,0.5458333333333334
naive,lightgbm,5.5,4480.0,359.0,360.0,360.0,0.5,0.25198635769613636,0.6971977930079505,0.49753469969921754,0.03426615748125332,0.5097222222222222,0.5151719311591653,-0.042292320844761117,0.0200544763164221,0.025166881342714154,0.04145181825760915,-3.5914141776302553,-0.04805849542668794,10.908333333333333,0.02727083333333333,0.07429398148148149,15.583333333333334,1.0,0.5875
naive,prior,5.5,4480.0,359.0,360.0,360.0,0.5101851851851852,0.24990894198409272,0.6929654401747042,0.5,0.013906943154854079,0.5097222222222222,0.5148560817084494,0.005366423419232639,0.0200544763164221,0.025166881342714154,0.06554009739931778,0.14332969853164615,-0.02875652357776375,0.2919223239548107,0.0007298058098870268,0.14579255001389213,0.4166666666666667,1.0,0.5875
naive,ridge_logistic,5.5,4480.0,359.0,360.0,360.0,0.5085648148148149,0.25050797009014725,0.6941738644173284,0.49985733911017577,0.02835188702388225,0.5097222222222222,0.5244571162054666,-0.017606135085418823,0.0200544763164221,0.025166881342714154,0.10497726832835468,-0.8760010377529248,-0.05367981344173661,11.568848943192096,0.02892212235798024,0.18682189865317977,16.583333333333332,1.0,0.5375
naive,trend,5.5,4480.0,359.0,360.0,360.0,,,,,,,,0.0003561641154041136,0.0200544763164221,0.025166881342714154,0.07121705822070278,-0.1740007147837321,-0.03095654163439887,1.7499999999999998,0.0043749999999999995,0.10532407407407407,2.5,1.0,
timesfm,catboost,5.5,4480.0,359.0,360.0,360.0,0.5085648148148149,0.251604548483726,0.6964142600846938,0.5055613025400223,0.04233612907939919,0.5097222222222222,0.5115411000448938,-0.035397741010095136,0.0200544763164221,0.025166881342714154,0.061673677268142414,-3.8582992641270724,-0.0458231289703259,15.559297567350136,0.03889824391837534,0.07764670420696844,22.25,1.0,0.5541666666666667
timesfm,lightgbm,5.5,4480.0,359.0,360.0,360.0,0.5097222222222222,0.25407169854138845,0.7020839993416338,0.4964388566793696,0.04353237066871895,0.5097222222222222,0.5302234295487188,-0.04764205381886801,0.0200544763164221,0.025166881342714154,0.0908531220004385,-3.2644477093109914,-0.06486086545435572,17.0287896124024,0.042571974031005995,0.14820401934437935,24.333333333333332,1.0,0.5708333333333334
timesfm,prior,5.5,4480.0,359.0,360.0,360.0,0.5101851851851852,0.24990894198409272,0.6929654401747042,0.5,0.013906943154854079,0.5097222222222222,0.5148560817084494,0.005366423419232639,0.0200544763164221,0.025166881342714154,0.06554009739931778,0.14332969853164615,-0.02875652357776375,0.2919223239548107,0.0007298058098870268,0.14579255001389213,0.4166666666666667,1.0,0.5875
timesfm,ridge_logistic,5.5,4480.0,359.0,360.0,360.0,0.5106481481481482,0.25055131179159223,0.6942666009648661,0.5107128233514654,0.028526794267139874,0.5097222222222222,0.5253967071822928,-0.037118907963035165,0.0200544763164221,0.025166881342714154,0.08676752545812116,-3.043310786358528,-0.05927759059731074,14.219881436861163,0.035549703592152905,0.1419372256850356,20.333333333333332,1.0,0.5416666666666666
timesfm,trend,5.5,4480.0,359.0,360.0,360.0,,,,,,,,0.0003561641154041136,0.0200544763164221,0.025166881342714154,0.07121705822070278,-0.1740007147837321,-0.03095654163439887,1.7499999999999998,0.0043749999999999995,0.10532407407407407,2.5,1.0,
chronos,catboost,5.5,4480.0,359.0,360.0,360.0,0.5097222222222223,0.2517804395250163,0.6967878014363764,0.5106105688575282,0.03548873553857514,0.5097222222222222,0.5073159220487485,-0.03221121321026101,0.0200544763164221,0.025166881342714154,0.06297603656175751,-1.9994660680234377,-0.04511848578842015,12.68889557028546,0.03172223892571365,0.07727306208236556,18.166666666666668,1.0,0.5625
chronos,lightgbm,5.5,4480.0,359.0,360.0,360.0,0.4979166666666666,0.2540497537271167,0.7016176299966093,0.4956170455526287,0.0429525974078138,0.5097222222222222,0.5181058942178024,-0.04482939300875124,0.0200544763164221,0.025166881342714154,0.08031009291139628,-3.5924508137321998,-0.05925963126870524,13.509405292789078,0.033773513231972696,0.13425433191505082,19.333333333333332,1.0,0.5541666666666667
chronos,prior,5.5,4480.0,359.0,360.0,360.0,0.5101851851851852,0.24990894198409272,0.6929654401747042,0.5,0.013906943154854079,0.5097222222222222,0.5148560817084494,0.005366423419232639,0.0200544763164221,0.025166881342714154,0.06554009739931778,0.14332969853164615,-0.02875652357776375,0.2919223239548107,0.0007298058098870268,0.14579255001389213,0.4166666666666667,1.0,0.5875
chronos,ridge_logistic,5.5,4480.0,359.0,360.0,360.0,0.5018518518518519,0.2507071469600975,0.6945783109933955,0.4956479149591803,0.02919195278313129,0.5097222222222222,0.5230465834449799,-0.03669922241654113,0.0200544763164221,0.025166881342714154,0.09406334004670945,-3.54953658125102,-0.06547319065770775,14.677910837229211,0.036694777093073026,0.14662590657580668,21.0,1.0,0.5375
chronos,trend,5.5,4480.0,359.0,360.0,360.0,,,,,,,,0.0003561641154041136,0.0200544763164221,0.025166881342714154,0.07121705822070278,-0.1740007147837321,-0.03095654163439887,1.7499999999999998,0.0043749999999999995,0.10532407407407407,2.5,1.0,
timesfm_chronos,catboost,5.5,4480.0,359.0,360.0,360.0,0.5118055555555555,0.25179153178519903,0.6968459311388898,0.5051933065955815,0.03334147632443602,0.5097222222222222,0.5121559129788046,-0.03974124475056796,0.0200544763164221,0.025166881342714154,0.07928037969532346,-3.495807429571695,-0.05698036516065081,17.369716276337204,0.043424290690843005,0.1042899200683412,24.833333333333332,1.0,0.55
timesfm_chronos,lightgbm,5.5,4480.0,359.0,360.0,360.0,0.5023148148148148,0.2540990417296831,0.7022469478821378,0.4943765517453717,0.047844614805895164,0.5097222222222222,0.5289955136802322,-0.03642327087056948,0.0200544763164221,0.025166881342714154,0.09716248740837023,-2.4148961167645147,-0.06216705121217958,16.262551236941587,0.04065637809235397,0.15866906294628047,23.25,1.0,0.5583333333333333
timesfm_chronos,prior,5.5,4480.0,359.0,360.0,360.0,0.5101851851851852,0.24990894198409272,0.6929654401747042,0.5,0.013906943154854079,0.5097222222222222,0.5148560817084494,0.005366423419232639,0.0200544763164221,0.025166881342714154,0.06554009739931778,0.14332969853164615,-0.02875652357776375,0.2919223239548107,0.0007298058098870268,0.14579255001389213,0.4166666666666667,1.0,0.5875
timesfm_chronos,ridge_logistic,5.5,4480.0,359.0,360.0,360.0,0.5131944444444444,0.250497237718785,0.6941613098945528,0.499101069531878,0.027679727145681888,0.5097222222222222,0.5241368990825495,-0.022398831689409964,0.0200544763164221,0.025166881342714154,0.10539994543370529,-1.2874207792441996,-0.05840244342423543,10.948860179656466,0.027372150449141167,0.18211748081584736,15.666666666666666,1.0,0.5416666666666666
timesfm_chronos,trend,5.5,4480.0,359.0,360.0,360.0,,,,,,,,0.0003561641154041136,0.0200544763164221,0.025166881342714154,0.07121705822070278,-0.1740007147837321,-0.03095654163439887,1.7499999999999998,0.0043749999999999995,0.10532407407407407,2.5,1.0,
